geo_h3_10,city,Автозапчасти для иномарок,Авторемонт и техобслуживание (СТО),Алкогольные напитки,Аптеки,Банки,Быстрое питание,Доставка готовых блюд,Женская одежда,Кафе,Косметика / Парфюмерия,Ногтевые студии,Овощи / Фрукты,Парикмахерские,Платёжные терминалы,Постаматы,Продуктовые магазины,Пункты выдачи интернет-заказов,Рестораны,Страхование,Супермаркеты,Цветы,Шиномонтаж,lat,lon
8a0bb02048d7fff,Новосибирск,,,1.0,2.0,,,,,,3.0,,,,2.0,2.0,,,,,2.0,,,54.93596763138631,83.11988413773797
8a0bb02048effff,Новосибирск,,,,2.0,,,,,,,,,,,,,,,,,,,54.93818848151257,83.11771143554596
8a0bb0204947fff,Новосибирск,,,,,,,,,,,1.0,,,1.0,,,,,,,,,54.938326048668834,83.10891423859287
8a0bb020494ffff,Новосибирск,,,,2.0,,,,,,,1.0,1.0,2.0,,,1.0,1.0,,,,,,54.93940207357495,83.11002694018194
8a0bb0204957fff,Новосибирск,,,,,,,,,,,2.0,,3.0,1.0,,,,,,2.0,,,54.93721569494109,83.1100008669293
8a0bb020495ffff,Новосибирск,,,,,,,,,,,,,3.0,,,,,,,,,,54.93829171610884,83.11111356359116
8a0bb0204967fff,Новосибирск,2.0,,,,,1.0,,,,,,1.0,2.0,1.0,1.0,2.0,,,,,1.0,,54.93836034174133,83.10671489643171
8a0bb020496ffff,Новосибирск,,,,2.0,,,,5.0,,,,,,1.0,3.0,,,,,2.0,,,54.93943638986247,83.10782755302725
8a0bb0204a37fff,Новосибирск,,,,,,,,,,,,,,,,,,,1.0,,,,54.94252663665674,83.11996380778369
8a0bb0204a87fff,Новосибирск,,,,,,,,,,,,,2.0,1.0,,,,,,2.0,,,54.94134705936042,83.12544899508002
8a0bb0204a8ffff,Новосибирск,,,1.0,,,,,,3.0,,,,,1.0,,,1.0,,,,,,54.94242288649792,83.12656211631366
8a0bb0204a9ffff,Новосибирск,,,,,,,,,,,,1.0,2.0,1.0,,3.0,,,,2.0,,,54.9413124202259,83.1276483518659
8a0bb0204aa7fff,Новосибирск,,,,,,,,,,,,,,1.0,,,,,,2.0,,,54.94138165900991,83.12324962108153
8a0bb0204aaffff,Новосибирск,,,,,,,,,,,,,,1.0,,,,,,2.0,,,54.94245750937132,83.12436269734525
8a0bb0204af7fff,Новосибирск,2.0,2.0,,,,,,,,,,,,,,,,,,,,,54.94353334024432,83.1254758235364
8a0bb0204b17fff,Новосибирск,,2.0,,,,,,,,,,,,,,,,,,,,,54.94148522103945,83.11665139587325
8a0bb0204b27fff,Новосибирск,,,,,,,,,,,,,,1.0,,3.0,,,,,,,54.94263003141826,83.11336534447372
8a0bb0204b47fff,Новосибирск,,,,,,,,,,,,,1.0,1.0,,2.0,,,,,,,54.94585781391565,83.11670419810524
8a0bb0204b67fff,Новосибирск,,,,,,,,,,,,,,,,,,,,,1.0,,54.94589226951653,83.11450454098596
8a0bb0204b97fff,Новосибирск,,,,,,,,,,,,,,1.0,,1.0,,,,,,,54.93922989982831,83.1210236183264
8a0bb0204ba7fff,Новосибирск,,,,,,,,,,,,,2.0,,,,,,,,,,54.940374823559296,83.11773788508465
8a0bb0204baffff,Новосибирск,,,,,,,,,,3.0,,1.0,,2.0,1.0,1.0,1.0,,,2.0,,,54.9414507398503,83.11885082147188
8a0bb0204c4ffff,Новосибирск,,,,,,,,,,,,,,1.0,,,1.0,,,3.0,,,54.93263626227398,83.12314276192998
8a0bb0204c9ffff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.92600781596657,83.12745987613523
8a0bb0204ccffff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.93038068262739,83.12751371321708
8a0bb0205067fff,Новосибирск,,,,,,,,,,,,1.0,,,,1.0,,,,,,,54.9619592511444,83.13560552354619
8a0bb020514ffff,Новосибирск,,,,,,,,,,,,,,1.0,,,,,,,,,54.96199409471005,83.13340520874104
8a0bb0205307fff,Новосибирск,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,54.965185910940136,83.13894720962512
8a0bb020532ffff,Новосибирск,,,,,,,,,,,,,,1.0,,1.0,,,,,,,54.96629636170576,83.13786071016247
8a0bb0205837fff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.957830122942674,83.1201497952448
8a0bb0205967fff,Новосибирск,,1.0,,,,,,,,,,,,,,,,,,,,,54.96119561946546,83.11468867945
8a0bb02059a7fff,Новосибирск,,,,,,,,,,,,,2.0,1.0,,3.0,,,,,,,54.955678530460766,83.1179231041098
8a0bb0205a07fff,Новосибирск,,,,,,,,,,,,,,1.0,,1.0,,,,,,,54.966435712712965,83.12905855843762
8a0bb0205b17fff,Новосибирск,,,,,,,,,1.0,,,,,,,,,,,,,,54.96431912480898,83.12463057677571
8a0bb0205baffff,Новосибирск,,,,,,,,,,,,,,,,,,,,,,3.0,54.96428443231946,83.12683106780109
8a0bb0220057fff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.9467073534599,83.06170762916494
8a0bb022005ffff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.94778382227573,83.06281955416891
8a0bb022009ffff,Новосибирск,,,,,,,,,,,,,,,,2.0,,,,,,,54.94226738778118,83.06605987607492
8a0bb022020ffff,Новосибирск,,,,,,,,,,,,1.0,,1.0,,2.0,,,,,,,54.95316587439783,83.06837992822686
8a0bb0220217fff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.95097951165613,83.0683558769687
8a0bb0220277fff,Новосибирск,,,,,,,,,,,,,,1.0,,,,,,2.0,,,54.954275856805786,83.06729175234342
8a0bb022031ffff,Новосибирск,,1.0,,,,,,,,,,,,,,,,,,,,,54.9510466727178,83.06395536355333
8a0bb0220357fff,Новосибирск,,2.0,,,,,,,,,,,,1.0,,3.0,,,,,,,54.95323304923543,83.06397920032673
8a0bb022036ffff,Новосибирск,,,,,,,,,,,,,,1.0,,,,,,,,,54.955452936195016,83.06180254264929
8a0bb0220377fff,Новосибирск,,,,,,,,,,,,,,,,2.0,,,,,,,54.95326657736991,83.06177881080555
8a0bb022038ffff,Новосибирск,,,,,,,,,,,,,1.0,,,,,,,,,,54.94990312443387,83.06724375706808
8a0bb0220397fff,Новосибирск,,,,,,,,,,,,,,1.0,,2.0,,,,,,,54.94771672139438,83.06721976294202
8a0bb02203b7fff,Новосибирск,,,,,,,,,,,,,,,,2.0,,,,,,,54.94775029159302,83.06501966707755
8a0bb02204dffff,Новосибирск,,,,,,,,,,,,,,1.0,,3.0,,,,,,,54.93775990558392,83.0748103312405
8a0bb0220747fff,Новосибирск,,,,2.0,,,,,,,,,,,,,,,,,,,54.94657308644436,83.07050779816944
8a0bb022076ffff,Новосибирск,,,,,,,,,,,,1.0,2.0,1.0,,3.0,,,,,,,54.94768311168071,83.06941984175609
8a0bb02207b7fff,Новосибирск,,,,,,1.0,,,,,,,,,,,,,,,,,54.939980079321614,83.07263502898125
8a0bb0220a47fff,Новосибирск,,,,,,,,,,,,,,,,3.0,,,,,,,54.95558668099108,83.05300038519812
8a0bb0221137fff,Новосибирск,,,,2.0,,,,,,,,3.0,,2.0,,,,,,2.0,,,54.96530801478426,83.06080886843606
8a0bb0221217fff,Новосибирск,,,,,1.0,,,,,,,,2.0,1.0,1.0,2.0,,,,,,,54.97381692828261,83.0763132093578
8a0bb022121ffff,Новосибирск,,,,,,,,,,,,,,,,,,,,2.0,,,54.974893049427486,83.077426112776
8a0bb0221237fff,Новосибирск,,,,,,,,,,,,,2.0,1.0,,,,,1.0,3.0,,,54.97385073931434,83.0741118944055
8a0bb0221247fff,Новосибирск,,,,,,,,,,,,,,,,,1.0,,,,,,54.97818906418635,83.076362115008
8a0bb0221257fff,Новосибирск,,,,,,,,,,,,,4.0,,,,,,,,,,54.97707911393064,83.07745061927565
8a0bb022125ffff,Новосибирск,,3.0,,,,,,,,,,,,,,,,,,,,,54.97815519981101,83.0785636275614
8a0bb0221267fff,Новосибирск,,4.0,,,,,,,,,,1.0,,1.0,,,,,1.0,2.0,1.0,,54.97822288901187,83.07416058535466
8a0bb0221277fff,Новосибирск,,,,,,,2.0,6.0,1.0,,,1.0,2.0,1.0,,,,,1.0,,,,54.97711295508212,83.07524915185024
8a0bb0221287fff,Новосибирск,2.0,,,,,,1.0,,,,,,,1.0,3.0,,,,,3.0,1.0,,54.97267309339235,83.07960284430622
8a0bb022128ffff,Новосибирск,,,,2.0,,,,,,,,,1.0,1.0,,,,,,2.0,,,54.9737491875869,83.08071578796681
8a0bb022129ffff,Новосибирск,,,,2.0,,,,,2.0,,,,2.0,2.0,1.0,,1.0,,,2.0,,,54.97263918695331,83.08180406283905
8a0bb02212a7fff,Новосибирск,,,,,,,,,,,,,,,,,,,,,,1.0,54.9727069602897,83.07740160866834
8a0bb02212c7fff,Новосибирск,,,1.0,4.0,3.0,4.0,,,,,,,,6.0,2.0,,,,1.0,6.0,2.0,,54.97593525405547,83.08074045428373
8a0bb02212cffff,Новосибирск,,,,,,,,,,,,1.0,4.0,,,,,,1.0,,,,54.97701131298442,83.08185350281353
8a0bb02212dffff,Новосибирск,,,1.0,2.0,,,,4.0,,2.0,2.0,,2.0,1.0,,,,,,2.0,1.0,,54.97590131748805,83.08294182526785
8a0bb02212f7fff,Новосибирск,,,2.0,,,,,,,2.0,,1.0,,1.0,4.0,,,,,2.0,,,54.97485917562896,83.0796274557513
8a0bb0221307fff,Новосибирск,,,,2.0,,,,,,2.0,,1.0,,2.0,2.0,,,,,3.0,,,54.97391824274116,83.06970921323675
8a0bb022131ffff,Новосибирск,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,54.97388451080081,83.07191056236306
8a0bb022132ffff,Новосибирск,4.0,5.0,,2.0,,4.0,3.0,,,,2.0,,,1.0,,,,,2.0,2.0,1.0,,54.97502814915982,83.06862056993315
8a0bb022134ffff,Новосибирск,,,,,,,,,,,,,,1.0,,3.0,,,,,,,54.97825667428666,83.07195903860773
8a0bb0221357fff,Новосибирск,,,,,,,,,,,,,2.0,,,,,,,,,,54.97607060486278,83.07193479930238
8a0bb022135ffff,Новосибирск,,,,,,,,,,,,1.0,,,,,,,,,,,54.97714675668468,83.07304766732892
8a0bb022136ffff,Новосибирск,,,,,,,,,,,,,,,,2.0,,,,,,,54.978290420009856,83.06975747477345
8a0bb0221377fff,Новосибирск,,,,,,,,,,,,,,1.0,,,,,,,,,54.97610434369465,83.06973334282733
8a0bb022184ffff,Новосибирск,,1.0,,,,,,,,,,,,,,,,,,,,,54.97196708520803,83.05427591571541
8a0bb0221897fff,Новосибирск,,,,,,,,,,,,,1.0,,,,,,,,,,54.96426513210023,83.05749559024166
8a0bb02218a7fff,Новосибирск,,,2.0,,,,1.0,,,,,,2.0,,,,,,,,,,54.9654084162127,83.05420580194708
8a0bb02218b7fff,Новосибирск,,,,,,,,,,,,,,1.0,,1.0,,,,,,,54.9642985760355,83.05529461321451
8a0bb0221937fff,Новосибирск,,,,,,,,,,,,,,,,,,,,,,5.0,54.96554173118986,83.04540147495331
8a0bb022199ffff,Новосибирск,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,,,54.96433198043043,83.05309361915859
8a0bb02219b7fff,Новосибирск,,,,,,,,,,,,,,1.0,,,,,,,,,54.96328886682471,83.04978052040582
8a0bb0221a0ffff,Новосибирск,,,,,,,,,,,,,,1.0,,3.0,,,,,,,54.97623890351611,83.0609273461973
8a0bb0221a2ffff,Новосибирск,,,,,,,,,,,,,,,,3.0,,,,,,,54.976272444590606,83.05872580438886
8a0bb0221a6ffff,Новосибирск,,,,2.0,,,,,,,,,,,,1.0,,,,,,,54.9795348306945,83.0598620515024
8a0bb0221b4ffff,Новосибирск,,,,,,2.0,,,,,,,2.0,,,,,,,,,,54.97849206371672,83.05654773328695
8a0bb0221b57fff,Новосибирск,,,,,,,,,,,,,,1.0,,,,,,2.0,,,54.97630594611105,83.05652424553263
8a0bb0221b9ffff,Новосибирск,,,,,,1.0,,,,,,,,,,,,,,,,,54.97186662189875,83.06087994815421
8a0bb0221c57fff,Новосибирск,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,54.962011865152256,83.06187375207587
8a0bb0221c67fff,Новосибирск,,,,,,,,,,,,,,1.0,,2.0,,,,,,,54.96315526299109,83.05858428200015
8a0bb0221d0ffff,Новосибирск,2.0,,,,,,,,,,,,,,,,,,,,,,54.95992598925008,83.05524777708735
8a0bb0221d17fff,Новосибирск,,,,,,,,,,,,,,,,,,,,,,1.0,54.95773965896213,83.05522436245137
8a0bb0221d1ffff,Новосибирск,,,,,,,,,,,,,,,,,,,,,,3.0,54.95881611874768,83.05633642600749
8a0bb0221d8ffff,Новосибирск,3.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,54.957672772809886,83.0596256557237
8a0bb0221d9ffff,Новосибирск,,2.0,,,,,,6.0,,,,,,,,,,,,,,,54.95656286079653,83.06071412784438
8a0bb0221daffff,Новосибирск,,,,,,,,,,,,,,,,2.0,,,,,,1.0,54.95770623565164,83.05742501760247
8a0bb0222077fff,Новосибирск,,,,,,,,,,,,,,,,,,,1.0,,,,54.93096358723586,83.09013141771416
8a0bb022220ffff,Новосибирск,,,,,,,,,,3.0,,,,,,,,,,,,,54.937386846792215,83.09900429535881
8a0bb022221ffff,Новосибирск,,,,2.0,,,,,,,,1.0,1.0,2.0,1.0,,,,,5.0,,,54.936276561905416,83.10009117719866
8a0bb022224ffff,Новосибирск,,,1.0,,,,,,,,,,,,,,,,,3.0,,,54.94064938161008,83.10014235936478
8a0bb0222267fff,Новосибирск,,,,,,,,,,,,,2.0,,,,,,,,,,54.93960737894288,83.09683035997033
8a0bb02222c7fff,Новосибирск,,,1.0,,,,,,,1.0,2.0,1.0,3.0,,,,2.0,,,,,,54.937318504515886,83.10340297543219
8a0bb02222cffff,Новосибирск,,2.0,,4.0,,1.0,,1.0,3.0,,,1.0,3.0,2.0,,1.0,2.0,,,,1.0,,54.93839459532545,83.10451553711395
8a0bb02222d7fff,Новосибирск,,,1.0,,,,,,,,,,,,,,,,,,,,54.93620818707441,83.10448973298729
8a0bb02222dffff,Новосибирск,,,,2.0,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,2.0,,,54.93728427414478,83.10560228975257
8a0bb02222e7fff,Новосибирск,,,,,,,2.0,,,,,,2.0,1.0,,2.0,,,,2.0,,,54.937352695398666,83.1012036439655
8a0bb02222effff,Новосибирск,,,,,,,,,,,,,,,,,,,,2.0,,,54.93842880942028,83.1023161606459
8a0bb0222317fff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.93419236055665,83.09346794909084
8a0bb0222827fff,Новосибирск,,,,,,,,,,,,,,,,,,,,,,1.0,54.92904735262941,83.07251379494113
8a0bb0222837fff,Новосибирск,,,,,,,,,,,,,,1.0,,2.0,,,,,,,54.92793722797828,83.07360121274216
8a0bb022284ffff,Новосибирск,,,,,,,,,,,,,,,,,,,,,,1.0,54.93335315006953,83.07696094336423
8a0bb02228a7fff,Новосибирск,3.0,,,,,,,,,,,,,,,,,,,,,,54.92679340833331,83.07688757434072
8a0bb0222997fff,Новосибирск,,,,2.0,,3.0,,,,,1.0,2.0,2.0,1.0,,,,,,2.0,1.0,,54.92464045428178,83.07466422884845
8a0bb0222b27fff,Новосибирск,,2.0,,,,,,,,,,,,,,,,,,,,,54.93557339166623,83.07478597490481
8a0bb0222b37fff,Новосибирск,,1.0,,,,,,,,,,,,,,,,,,,,,54.93446327714492,83.07587348775787
8a0bb0222d27fff,Новосибирск,,2.0,,,,,,,,,,,,,,,,,,,,,54.92026710780114,83.07461554704304
8a0bb0222d4ffff,Новосибирск,,,,,,,,,,,,1.0,,,,2.0,,,,,,,54.92457306371446,83.07906199962831
8a0bb0222d5ffff,Новосибирск,,,,,,,,,,,,,,1.0,,3.0,,,,,,,54.92346287259193,83.08014912644202
8a0bb0222d67fff,Новосибирск,,,,,,2.0,,,,,,,,1.0,,,,,,,,1.0,54.92353029573608,83.07575147982391
8a0bb0222d6ffff,Новосибирск,,,,,,,,,2.0,,,,,,,,,,,,,,54.92460677873933,83.07686312276861
8a0bb0223297fff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.955781931820844,83.11132265975971
8a0bb022329ffff,Новосибирск,,3.0,,,,,,,,,,,,,,,,,,,,,54.956857807495446,83.11243584529909
8a0bb02232e7fff,Новосибирск,,,,,,,,,,,,,,,,3.0,,,,,,,54.96018864204408,83.10917456233567
8a0bb022348ffff,Новосибирск,,,,,,,,,,1.0,,,,,,,,,,,,,54.94266441735751,83.11116582233747
8a0bb0223497fff,Новосибирск,,5.0,,,,,,6.0,,,,,,,,,,,,,,,54.94047807900294,83.1111396916901
8a0bb02234affff,Новосибирск,,2.0,,,,,,,,,,,,,,,,,,,,,54.94269876380463,83.10896628302855
8a0bb0223597fff,Новосибирск,,,1.0,,,2.0,,,,,,,,2.0,1.0,,,,,5.0,,,54.93947066666068,83.10562814871197
8a0bb02235affff,Новосибирск,1.0,,,,,,,,,,,,,,,,,,,,,,54.94169127888433,83.10345448156421
8a0bb0223637fff,Новосибирск,,,,,,,,,,,,,,1.0,,2.0,,,,,,,54.95029920807639,83.11235725046244
8a0bb022366ffff,Новосибирск,,,,,,,,,,,,,,1.0,,3.0,,,,,,,54.95574750420813,83.11352282506797
8a0bb022374ffff,Новосибирск,,,,,,,,,,,,,,1.0,,,,,,,,,54.95470603665198,83.11020952417607
8a0bb0224797fff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.9328769258786,83.0362594839706
8a0bb0224847fff,Новосибирск,,,,,,,,,,,,,,1.0,,1.0,,,,,,,54.940972236992174,83.00663729519414
8a0bb0224907fff,Новосибирск,,3.0,,,,,,,,,,,,,,,,,,,,,54.93669602709584,82.99999525821887
8a0bb022490ffff,Новосибирск,,4.0,,,,,,,,,,,,,,,,,,,,3.0,54.93777322353896,83.0011056458784
8a0bb0224a8ffff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.94407295466242,83.01877046326898
8a0bb0225247fff,Новосибирск,,,,2.0,,,,,,,,,,1.0,2.0,,,,,,1.0,,54.971123564294366,83.03775387987565
8a0bb022528ffff,Новосибирск,,5.0,,,,,,,,,,,,,,,,,,,,,54.96668470694496,83.04211117124545
8a0bb02252c7fff,Новосибирск,,2.0,,,,,,,,,,,,,,,,,,,,,54.968870980006606,83.04213395104665
8a0bb02252effff,Новосибирск,2.0,4.0,,,,,,,,,,,,,,,,,,,,,54.96998070438587,83.04104466169075
8a0bb02256f7fff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.96002604259417,83.04864538766253
8a0bb02257affff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.95793936861979,83.04202007426926
8a0bb02263affff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.92709512876803,83.05709595158899
8a0bb0226537fff,Новосибирск,,,,,,,,,,,,,,,,,,,,2.0,,,54.91185429147023,83.05253476069207
8a0bb02266dffff,Новосибирск,,,,,,,,,,,,,,,,,,,,,,1.0,54.92245379328742,83.07463988675916
8a0bb02266e7fff,Новосибирск,,,,,,,,,,,,,,1.0,,1.0,,,,,,,54.92252101212445,83.07024226196528
8a0bb022692ffff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.92204188849615,83.02954993569364
8a0bb0228c17fff,Новосибирск,,4.0,,,,,,,,,,,,,,,,,,,,,54.98864078851069,83.10731155388952
8a0bb022a18ffff,Новосибирск,,,,,,,,,,,,,,,,,,,,2.0,,,54.97930669805154,83.14462880534441
8a0bb022a997fff,Новосибирск,,,,,,,,,,,,,,,,,,,,,,1.0,54.97736540543266,83.12919368222066
8a0bb022a9b7fff,Новосибирск,,,,,,,,,,,,,,1.0,,3.0,,,,,,,54.97740017921284,83.12699256470412
8a0bb022ad4ffff,Новосибирск,,,,,,,,,,,,1.0,,,,3.0,,,,,,,54.97729573928674,83.13359586549426
8a0bb022c597fff,Новосибирск,,,,2.0,,,,,,,,,,,,1.0,,,,,,,54.97808735241425,83.08296660134319
8a0bb022c66ffff,Новосибирск,,,,,,,,,,,,,,1.0,,1.0,,,,,,,54.99436253347123,83.09086035736429
8a0bb022ccd7fff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.98259494013402,83.07420928581111
8a0bb022cd07fff,Новосибирск,,,,,,,,,,,1.0,,2.0,,,,,,,,,,54.98168732296861,83.06208750549321
8a0bb022cd1ffff,Новосибирск,,,,,,,,,,,1.0,,,,,,,,,,,,54.981653705360586,83.06428929015107
8a0bb022cd27fff,Новосибирск,,,,,,,,,,,1.0,,2.0,,,,,,,,,,54.981720901017006,83.0598857037738
8a0bb022cd37fff,Новосибирск,,,,,,,,,,,1.0,,,,,,,,,,,,54.98061108657744,83.06097475349503
8a0bb022e05ffff,Новосибирск,2.0,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,54.97767694631179,83.10938300428846
8a0bb022e06ffff,Новосибирск,,,,4.0,,,,,,3.0,,,,1.0,,,2.0,,,4.0,,,54.97882153034646,83.10609404162652
8a0bb022e0effff,Новосибирск,,,,,,,,,,,,1.0,,,,,,,,3.0,,,54.97656675138312,83.11047057486404
8a0bb022e127fff,Новосибирск,,,,2.0,2.0,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,54.97347664316894,83.09832541753707
8a0bb022e12ffff,Новосибирск,,,,,,,,,,1.0,,1.0,,1.0,2.0,,1.0,,,2.0,,,54.97455253204768,83.09943877196866
8a0bb022e177fff,Новосибирск,,,,,,,,,,,,,,,,,,,,,,4.0,54.97562840142053,83.10055217639662
8a0bb022e1a7fff,Новосибирск,,,,,,,,,,,,,,,,,,,1.0,,,,54.97122208976755,83.10270191633462
8a0bb022e2b7fff,Новосибирск,,,,,,,,,,,,,,,,,,,1.0,,,,54.97864912656579,83.11710054342663
8a0bb022e2f7fff,Новосибирск,,,,,,,,,,,,,,,,2.0,,,,,,,54.98191065324959,83.11824091690379
8a0bb022e427fff,Новосибирск,,,,2.0,,3.0,,,,,4.0,,,2.0,,,,,,3.0,,,54.96671251794454,83.11145342776193
8a0bb022e48ffff,Новосибирск,,,,,,,,,,,,,,,,1.0,,,,,,,54.96549870808725,83.11914254060774
8a0bb022e50ffff,Новосибирск,,,,2.0,,,,,,,,2.0,4.0,4.0,,,1.0,,,,3.0,,54.96674694075794,83.10925270899769
